CAST,20100827,5.88,6.12,5.81,6.08,211900
CASY,20100827,37.41,38.51,37.23,38.5,1195600
CATM,20100827,13.74,14.04,13.55,13.98,253400
CATY,20100827,9.77,10.03,9.55,10.03,708300
CAVM,20100827,23.63,24.18,23.26,24.03,1138100
CAVO,20100827,2.42,2.7,2.41,2.7,13700
CBAK,20100827,1.38,1.43,1.36,1.43,125100
CBAN,20100827,5.4,5.91,5.4,5.78,1100
CBEH,20100827,8.03,8.42,7.72,8.33,142300
CBEY,20100827,12.05,12.24,11.87,12.19,265300
CBIN,20100827,9.55,9.55,9.55,9.55,100
CBKN,20100827,1.7,1.74,1.66,1.7,27800
CBLI,20100827,4.09,4.34,3.95,4.26,204400
CBMX,20100827,2.96,3.11,2.96,3.02,900
CBNJ,20100827,7.62,7.62,7.5,7.6,11300
CBNK,20100827,11.3,11.3,10.98,11.05,19400
CBOE,20100827,21.36,21.42,20.25,20.87,378600
CBOU,20100827,9.67,9.76,9.53,9.54,32200
CBPO,20100827,11.5,11.5,10.95,11.21,33200
CBRL,20100827,44.94,45.33,44.02,45.2,174500
CBRX,20100827,1.04,1.07,1.03,1.06,99700
CBSH,20100827,36.33,36.69,35.88,36.56,281400
CBST,20100827,21.89,22.7,21.44,22.52,559400
CCBD,20100827,1.03,1.05,1.03,1.05,900
CCBG,20100827,11.03,11.48,10.9,11.43,30300
CCBP,20100827,35.89,36.8,35.89,36.52,9300
CCIX,20100827,5.55,5.71,5.51,5.69,26900
CCME,20100827,9,9.07,8.76,9.02,283600
CCMP,20100827,30.79,31.37,30.05,31.32,122900
CCNE,20100827,12.61,12.94,12.52,12.91,26000
CCOI,20100827,8.83,9.1,8.7,9.08,242500
CCRN,20100827,7.47,7.81,7.15,7.76,105600
CCRT,20100827,4.33,4.49,4.11,4.46,125900
CCUR,20100827,5.04,5.08,4.95,5,5900
CDCS,20100827,5.58,5.58,5.42,5.42,32500
CDII,20100827,0.94,0.97,0.94,0.94,107200
CDNS,20100827,6.89,6.98,6.78,6.85,4814800
CDTI,20100827,1.1,1.1,1.08,1.1,2400
CDXS,20100827,7.59,7.85,7.44,7.81,77600
CDZI,20100827,10.49,11.48,10.49,11.44,53900
CEBK,20100827,10.31,10.5,9.8,9.85,3900
CECE,20100827,5.76,5.89,5.55,5.88,20800
CECO,20100827,18.05,18.2,17.67,18.03,653500
CEDC,20100827,22.88,23.12,22.51,23.07,713400
CEDU,20100827,7.2,7.22,7.11,7.16,4500
CELG,20100827,50.84,52.24,50.27,51.84,3328300
CELH,20100827,1.9,1.92,1.8,1.86,5900
CELL,20100827,6.22,6.39,6.19,6.39,557700
CELM,20100827,4.68,4.7,4.51,4.61,74800
CENT,20100827,9.56,9.57,9.43,9.56,195200
CENTA,20100827,9.62,9.67,9.49,9.61,309500
CENX,20100827,9.69,9.8,9.28,9.76,3363000
CEPH,20100827,56.75,57.53,55.8,57.3,1028500
CERN,20100827,74.75,75.23,73.16,74.67,589300
CERP,20100827,4.07,4.19,3.76,3.88,358500
CERS,20100827,2.96,2.97,2.91,2.94,132500
CETV,20100827,21,21.76,20.81,21.5,174400
CEVA,20100827,12.07,12.6,11.58,12.55,90600
CFBK,20100827,1.08,1.08,1.08,1.08,100
CFFC,20100827,4,4.31,4,4.31,3900
CFFN,20100827,25.83,26.07,25.51,25.99,305400
CFK,20100827,6.43,6.52,6.43,6.47,11500
CFNB,20100827,12.62,12.68,12.58,12.68,2400
CFNL,20100827,8.88,9.19,8.62,9.16,84300
CFSG,20100827,6.82,7.11,6.82,7.09,83000
CGEN,20100827,3.75,3.75,3.64,3.73,26900
CGNX,20100827,19.96,20.06,19.54,20.01,198200
CHBT,20100827,14.92,14.97,14.42,14.69,255200
CHCI,20100827,1.56,1.56,1.45,1.52,32100
CHCO,20100827,28.33,29.01,28.11,28.88,60000
CHDN,20100827,34.91,36,34.41,35.9,25400
CHDX,20100827,13.28,13.82,12.95,13.33,166400
CHEV,20100827,8.5,8.5,8.5,8.5,100
CHFC,20100827,19.1,19.82,18.89,19.76,80300
CHIND,20100827,4.5,4.65,4.17,4.21,332800
CHIO,20100827,0.29,0.3,0.29,0.3,82700
CHKE,20100827,18.5,18.5,18.13,18.4,55700
CHKP,20100827,34.37,35.4,34.32,35.2,1853300
CHLN,20100827,2.06,2.18,2.02,2.15,106400
CHMP,20100827,1.3,1.34,1.3,1.34,600
CHNG,20100827,5.28,5.32,5.21,5.27,185200
CHNR,20100827,10.71,10.71,10.22,10.22,800
CHOP,20100827,5.22,5.3,5.17,5.27,27900
CHOPW,20100827,0.74,0.85,0.74,0.85,6700
CHRM,20100827,7.58,8.13,7.58,8.06,12500
CHRS,20100827,3.4,3.47,3.26,3.47,522700
CHRW,20100827,65.27,66.4,64.61,65.92,1415100
CHSCP,20100827,28.14,28.3,28.14,28.29,16800
CHSI,20100827,41,41.16,40.15,41.03,297100
CHTP,20100827,4.15,4.15,3.98,4.01,260200
CHUX,20100827,5.71,5.81,5.49,5.73,87100
